               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11028,            0.018735,            0.051474,             0.18404,             0.17769,             0.10371,            0.048375,            0.083441,            0.013556,            0.043668,            0.070134,           0.0033185,           0.0033185
                   1,            0.086258,            0.013283,            0.039401,             0.44183,              0.2828,             0.21421,            0.086734,            0.079499,            0.010523,            0.033923,            0.040068,           0.0065859,           0.0065859
                   2,            0.085329,            0.011669,            0.030706,             0.25094,             0.32317,              0.2436,            0.098701,             0.08469,           0.0099056,             0.02774,           0.0099362,           0.0097874,           0.0097874
                   3,            0.081853,            0.012055,            0.027817,             0.40815,             0.31855,             0.27896,              0.1253,            0.079738,            0.010257,            0.024134,            0.009703,            0.009703,            0.009703
                   4,            0.076499,            0.011443,            0.024357,             0.48319,              0.3183,             0.33636,             0.16029,            0.072219,           0.0089117,            0.020786,            0.009703,            0.009703,            0.009703
                   5,             0.07383,             0.01154,            0.023566,             0.47008,             0.33596,             0.30327,             0.14954,            0.074027,           0.0091713,            0.022759,            0.009604,            0.009604,            0.009604
                   6,             0.07018,            0.011212,            0.021914,             0.53314,             0.34135,             0.35458,             0.16576,            0.072497,           0.0086625,            0.020364,            0.009505,            0.009505,            0.009505
                   7,            0.068455,            0.010689,            0.020397,             0.53292,             0.37637,             0.40082,             0.20133,            0.067847,           0.0082788,             0.01822,            0.009406,            0.009406,            0.009406
                   8,            0.067325,            0.010665,            0.019945,             0.54726,              0.4033,               0.388,             0.19319,             0.06672,           0.0085374,            0.018526,            0.009307,            0.009307,            0.009307
                   9,            0.065723,             0.01034,            0.018759,             0.60818,              0.4026,             0.40099,             0.20363,            0.066882,           0.0080407,            0.018084,            0.009208,            0.009208,            0.009208
                  10,            0.065314,            0.010398,            0.017857,             0.65126,             0.41306,             0.43663,              0.2235,            0.065156,           0.0081747,            0.017059,            0.009109,            0.009109,            0.009109
                  11,               0.063,            0.010245,            0.017207,             0.65661,             0.43278,             0.45452,             0.24636,            0.062595,           0.0076859,             0.01691,             0.00901,             0.00901,             0.00901
                  12,            0.062205,           0.0097496,            0.016281,             0.67665,             0.46118,             0.48753,             0.26524,            0.061352,           0.0073881,            0.014944,            0.008911,            0.008911,            0.008911
                  13,             0.06177,           0.0099646,            0.016443,             0.66741,              0.4139,             0.43324,              0.2316,            0.064641,           0.0080422,            0.017828,            0.008812,            0.008812,            0.008812
                  14,            0.060555,           0.0097402,              0.0157,             0.70406,              0.4118,             0.46494,             0.23408,             0.06348,           0.0077468,            0.014906,            0.008713,            0.008713,            0.008713
                  15,            0.060036,           0.0097607,            0.015096,             0.73161,             0.41214,             0.46371,             0.25232,            0.062397,            0.007843,            0.015511,            0.008614,            0.008614,            0.008614
                  16,            0.059903,           0.0097632,            0.014635,             0.74704,             0.44684,             0.49848,             0.27148,            0.061774,            0.007365,            0.014286,            0.008515,            0.008515,            0.008515
                  17,            0.059235,           0.0094018,            0.013685,             0.72245,             0.48422,             0.53131,             0.29521,            0.060315,           0.0072586,            0.014148,            0.008416,            0.008416,            0.008416
                  18,            0.058315,           0.0095106,            0.012914,             0.66749,             0.48034,             0.48586,             0.27054,            0.059455,           0.0072716,            0.015237,            0.008317,            0.008317,            0.008317
                  19,              0.0581,           0.0093243,            0.013007,             0.77602,             0.48872,             0.53482,             0.30167,            0.058712,           0.0072364,            0.013595,            0.008218,            0.008218,            0.008218
                  20,            0.057193,           0.0090852,            0.012126,             0.73219,              0.4827,             0.51216,             0.28117,            0.058955,           0.0072921,            0.013781,            0.008119,            0.008119,            0.008119
                  21,             0.05792,           0.0094567,            0.012706,             0.76509,             0.48203,             0.52226,             0.29951,            0.058102,           0.0073756,            0.013413,             0.00802,             0.00802,             0.00802
                  22,            0.057062,           0.0090686,             0.01194,             0.77797,             0.48706,             0.52323,             0.28014,            0.060198,           0.0073138,            0.013946,            0.007921,            0.007921,            0.007921
                  23,            0.055984,           0.0090976,            0.011334,             0.78592,             0.48291,             0.53819,             0.30033,            0.057799,            0.007047,            0.012606,            0.007822,            0.007822,            0.007822
                  24,            0.056237,           0.0090614,            0.011411,             0.71942,             0.47193,             0.49894,             0.29317,            0.058882,           0.0071615,            0.013798,            0.007723,            0.007723,            0.007723
                  25,            0.054463,           0.0090305,            0.011508,              0.7556,             0.48886,             0.51514,             0.29512,            0.057847,           0.0073164,            0.013525,            0.007624,            0.007624,            0.007624
                  26,            0.055239,           0.0089254,              0.0106,             0.77674,              0.5001,              0.5425,             0.31248,             0.05752,           0.0072665,            0.012677,            0.007525,            0.007525,            0.007525
                  27,            0.055032,           0.0088956,            0.011047,             0.81109,              0.4868,              0.5322,             0.29945,            0.057252,           0.0072179,             0.01263,            0.007426,            0.007426,            0.007426
                  28,            0.054633,           0.0087111,            0.010073,             0.79907,              0.4924,             0.53671,             0.31145,            0.057447,           0.0072512,            0.013287,            0.007327,            0.007327,            0.007327
                  29,            0.054713,            0.008808,            0.010798,             0.79812,             0.47818,             0.54187,             0.30604,             0.05802,           0.0071142,            0.012881,            0.007228,            0.007228,            0.007228
                  30,            0.053955,           0.0088654,            0.010105,             0.81415,             0.49564,             0.55524,              0.3218,             0.05738,           0.0069425,            0.012787,            0.007129,            0.007129,            0.007129
                  31,            0.054352,           0.0089533,           0.0098055,             0.81042,             0.47649,             0.52711,             0.30313,            0.057034,           0.0070671,            0.013428,             0.00703,             0.00703,             0.00703
                  32,            0.052973,           0.0089123,           0.0093775,             0.86397,              0.5014,             0.56781,             0.33156,            0.055967,           0.0070234,            0.012895,            0.006931,            0.006931,            0.006931
                  33,            0.053036,           0.0085244,            0.009283,             0.82397,             0.50599,             0.56292,             0.32262,            0.056639,           0.0070775,            0.012613,            0.006832,            0.006832,            0.006832
                  34,            0.053072,           0.0083854,           0.0092306,             0.80807,             0.49937,             0.55521,             0.32531,            0.055828,           0.0069608,            0.012534,            0.006733,            0.006733,            0.006733
                  35,            0.052656,           0.0084865,           0.0090338,             0.79771,              0.5078,             0.55848,              0.3236,            0.056322,            0.007304,            0.012323,            0.006634,            0.006634,            0.006634
                  36,            0.052411,            0.008466,           0.0088034,             0.84509,             0.47801,             0.54713,             0.32443,            0.056786,           0.0071082,            0.012612,            0.006535,            0.006535,            0.006535
                  37,            0.051165,           0.0085801,           0.0084562,             0.82478,             0.51441,             0.56674,             0.34101,            0.055074,           0.0070974,            0.011405,            0.006436,            0.006436,            0.006436
                  38,            0.051164,           0.0085279,            0.008346,             0.83425,             0.52827,             0.57326,             0.33673,            0.054994,           0.0069842,            0.011843,            0.006337,            0.006337,            0.006337
                  39,            0.051889,           0.0085567,           0.0084671,             0.86539,             0.49762,             0.54859,               0.319,             0.05606,           0.0070397,            0.012568,            0.006238,            0.006238,            0.006238
                  40,             0.05033,           0.0083364,           0.0077709,              0.8275,             0.53196,             0.57708,             0.33805,            0.055044,           0.0068741,             0.01235,            0.006139,            0.006139,            0.006139
                  41,            0.050517,           0.0081145,           0.0075587,             0.85904,             0.52366,             0.57908,             0.34213,            0.054802,           0.0070001,            0.011499,             0.00604,             0.00604,             0.00604
                  42,            0.050663,           0.0082758,           0.0079294,              0.8211,             0.52031,             0.57257,             0.33658,            0.055543,           0.0067528,            0.012075,            0.005941,            0.005941,            0.005941
                  43,            0.050243,           0.0081502,           0.0076198,             0.81255,             0.52579,             0.56929,             0.34026,            0.055151,           0.0067583,            0.012662,            0.005842,            0.005842,            0.005842
                  44,            0.049035,           0.0079871,           0.0072611,             0.80669,             0.51923,             0.56758,             0.33237,             0.05541,           0.0069383,            0.011877,            0.005743,            0.005743,            0.005743
                  45,            0.049752,           0.0081405,           0.0068791,             0.79332,             0.53399,              0.5726,             0.33837,            0.054353,           0.0069113,              0.0115,            0.005644,            0.005644,            0.005644
                  46,            0.049482,           0.0080504,           0.0069982,             0.87195,             0.50331,             0.57456,             0.34486,            0.055013,           0.0069444,            0.012443,            0.005545,            0.005545,            0.005545
                  47,            0.049373,           0.0079712,           0.0071281,             0.79893,             0.52627,             0.57107,             0.34481,             0.05454,           0.0069391,            0.012814,            0.005446,            0.005446,            0.005446
                  48,            0.048946,           0.0079433,           0.0070259,             0.79817,             0.53281,              0.5782,             0.35369,            0.054107,           0.0070027,            0.012181,            0.005347,            0.005347,            0.005347
                  49,            0.047995,           0.0077281,           0.0065235,              0.8344,             0.51081,             0.57469,              0.3509,            0.054585,           0.0069936,            0.012826,            0.005248,            0.005248,            0.005248
                  50,            0.047824,           0.0077339,           0.0068853,             0.82282,             0.52698,             0.57385,              0.3402,            0.054433,           0.0067813,            0.011621,            0.005149,            0.005149,            0.005149
                  51,            0.047081,           0.0079188,             0.00607,             0.86783,             0.51852,             0.58363,             0.35403,            0.054102,           0.0070516,            0.012083,             0.00505,             0.00505,             0.00505
                  52,            0.047601,           0.0077202,           0.0064503,             0.83291,             0.50872,              0.5626,             0.33715,            0.054084,           0.0069726,            0.012207,            0.004951,            0.004951,            0.004951
                  53,            0.047587,           0.0077778,            0.006425,             0.88412,             0.51964,             0.58534,             0.35274,             0.05469,           0.0069521,            0.011078,            0.004852,            0.004852,            0.004852
                  54,            0.047122,           0.0079115,           0.0060021,             0.84748,             0.54439,             0.59194,             0.35822,            0.054022,           0.0068068,            0.011873,            0.004753,            0.004753,            0.004753
                  55,            0.046833,           0.0076527,           0.0059935,              0.8698,             0.53769,             0.59493,              0.3646,            0.053625,           0.0068909,            0.011599,            0.004654,            0.004654,            0.004654
                  56,             0.04722,           0.0075635,           0.0060248,             0.83753,             0.52578,             0.57394,             0.35119,            0.053912,           0.0069811,             0.01227,            0.004555,            0.004555,            0.004555
                  57,             0.04632,            0.007573,           0.0060158,             0.89574,             0.50741,             0.59033,             0.35997,            0.053451,           0.0069928,            0.011599,            0.004456,            0.004456,            0.004456
                  58,            0.046841,           0.0076199,           0.0055664,             0.86255,             0.52556,             0.58636,             0.35232,            0.053848,           0.0071163,            0.011188,            0.004357,            0.004357,            0.004357
                  59,            0.045209,           0.0075298,           0.0056136,             0.85659,             0.52201,             0.57555,             0.34976,            0.053495,           0.0070934,            0.011396,            0.004258,            0.004258,            0.004258
                  60,            0.046044,           0.0076159,           0.0057412,             0.82235,             0.54053,             0.59034,             0.36001,             0.05328,           0.0070872,            0.011155,            0.004159,            0.004159,            0.004159
                  61,            0.045945,           0.0075662,            0.005791,             0.83189,             0.51731,             0.58031,             0.35381,            0.054051,           0.0068135,            0.011879,             0.00406,             0.00406,             0.00406
                  62,            0.045267,           0.0072097,           0.0054546,             0.81642,              0.5376,             0.58158,             0.35031,            0.054082,           0.0068817,            0.011134,            0.003961,            0.003961,            0.003961
                  63,             0.04476,           0.0073724,           0.0055619,             0.82011,             0.53587,             0.58056,             0.35581,            0.053441,           0.0068848,            0.011035,            0.003862,            0.003862,            0.003862
                  64,            0.043592,           0.0073304,           0.0051527,             0.85152,             0.53401,             0.59036,              0.3527,            0.053913,           0.0068936,            0.011482,            0.003763,            0.003763,            0.003763
                  65,             0.04539,           0.0073942,           0.0053956,             0.86553,             0.52715,             0.57864,             0.35537,            0.053932,           0.0070839,             0.01117,            0.003664,            0.003664,            0.003664
                  66,            0.044257,           0.0072405,           0.0052242,             0.85393,              0.5224,             0.58742,             0.35404,            0.053639,           0.0071887,            0.010541,            0.003565,            0.003565,            0.003565
                  67,            0.044511,           0.0071229,           0.0049892,             0.84956,              0.5374,             0.57977,             0.35477,            0.053701,           0.0071316,            0.011474,            0.003466,            0.003466,            0.003466
                  68,            0.043499,           0.0072646,           0.0050022,              0.8451,             0.55383,             0.59158,             0.36733,            0.053425,           0.0070031,            0.011833,            0.003367,            0.003367,            0.003367
                  69,            0.043821,           0.0074277,            0.005111,               0.847,             0.54977,             0.58993,             0.35957,            0.053668,           0.0068297,            0.011724,            0.003268,            0.003268,            0.003268
                  70,            0.043216,            0.007082,           0.0049466,             0.86052,             0.53395,             0.58866,             0.35473,            0.053023,           0.0070446,            0.011841,            0.003169,            0.003169,            0.003169
                  71,            0.043008,           0.0070052,           0.0050061,             0.86185,             0.53835,             0.59502,             0.36391,              0.0531,           0.0068987,             0.01148,             0.00307,             0.00307,             0.00307
                  72,            0.043091,           0.0072284,           0.0047968,             0.88268,             0.53065,             0.58782,              0.3635,            0.053121,           0.0070489,            0.011772,            0.002971,            0.002971,            0.002971
                  73,            0.041711,           0.0068062,           0.0045324,             0.86742,             0.53438,             0.59437,             0.36523,            0.053346,           0.0069163,             0.01169,            0.002872,            0.002872,            0.002872
                  74,            0.043619,           0.0069212,           0.0048652,             0.86034,             0.53596,             0.58688,              0.3673,            0.052903,           0.0069297,            0.011171,            0.002773,            0.002773,            0.002773
                  75,            0.042094,           0.0068806,           0.0048466,             0.87334,             0.52102,             0.57931,             0.34957,            0.053532,           0.0069692,            0.012009,            0.002674,            0.002674,            0.002674
                  76,            0.042873,           0.0069483,           0.0046902,             0.88905,             0.52695,             0.59269,             0.36219,            0.052869,           0.0069846,            0.011756,            0.002575,            0.002575,            0.002575
                  77,            0.041426,           0.0067279,           0.0043313,             0.88324,             0.52478,             0.58769,             0.36244,            0.053129,           0.0071091,            0.011237,            0.002476,            0.002476,            0.002476
                  78,            0.041405,           0.0068453,           0.0046412,             0.87395,             0.53861,              0.5964,             0.37088,            0.052969,           0.0067675,            0.011294,            0.002377,            0.002377,            0.002377
                  79,            0.041642,           0.0068503,           0.0047163,             0.84842,             0.53679,             0.59552,             0.36612,            0.052502,           0.0069695,            0.011095,            0.002278,            0.002278,            0.002278
                  80,            0.041231,           0.0067707,            0.004394,             0.85936,             0.52235,             0.59007,             0.36521,             0.05274,           0.0071621,            0.011246,            0.002179,            0.002179,            0.002179
                  81,            0.041243,           0.0066442,           0.0044134,              0.8459,             0.53427,             0.58818,             0.36747,            0.052671,           0.0070494,            0.011319,             0.00208,             0.00208,             0.00208
                  82,            0.040522,            0.006724,           0.0043312,             0.87168,             0.52386,             0.57944,             0.36041,            0.052818,           0.0069558,            0.011806,            0.001981,            0.001981,            0.001981
                  83,            0.039965,            0.006451,           0.0039981,             0.86536,             0.53698,             0.58491,             0.36254,            0.052751,            0.007048,            0.011674,            0.001882,            0.001882,            0.001882
                  84,            0.040301,           0.0064837,           0.0042936,             0.87245,             0.53273,             0.58879,             0.36337,            0.052721,           0.0071964,            0.011667,            0.001783,            0.001783,            0.001783
                  85,            0.040663,           0.0065851,            0.004314,             0.87487,             0.52095,             0.58173,             0.36135,            0.053028,           0.0072084,            0.011797,            0.001684,            0.001684,            0.001684
                  86,             0.03919,           0.0065381,           0.0040545,             0.85167,             0.52899,             0.58205,             0.36391,             0.05258,           0.0072128,            0.011709,            0.001585,            0.001585,            0.001585
                  87,            0.039171,           0.0066757,           0.0040931,             0.87071,             0.52872,             0.58457,             0.36225,            0.052991,           0.0071326,            0.012113,            0.001486,            0.001486,            0.001486
                  88,            0.039046,           0.0063886,           0.0039569,             0.85828,             0.53506,             0.58517,             0.36189,            0.053018,           0.0071965,             0.01187,            0.001387,            0.001387,            0.001387
                  89,            0.038771,           0.0063224,           0.0038819,             0.87046,             0.52626,             0.58051,             0.36147,            0.053263,           0.0072225,             0.01173,            0.001288,            0.001288,            0.001288
                  90,             0.03926,           0.0063121,           0.0042419,             0.86888,             0.53357,             0.58838,             0.36472,            0.052931,           0.0072598,            0.011683,            0.001189,            0.001189,            0.001189
                  91,            0.038324,           0.0063803,             0.00385,             0.84028,             0.54762,             0.58364,             0.36067,            0.052953,           0.0072267,            0.012269,             0.00109,             0.00109,             0.00109
                  92,            0.038897,           0.0062213,           0.0041038,             0.88634,             0.53238,             0.58716,             0.36551,            0.052902,           0.0071875,            0.012004,            0.000991,            0.000991,            0.000991
                  93,            0.038417,           0.0062955,           0.0038628,              0.8829,             0.52116,             0.58573,             0.36348,            0.052713,           0.0072294,            0.012265,            0.000892,            0.000892,            0.000892
                  94,             0.03806,            0.006241,           0.0039573,             0.87584,             0.53753,             0.59452,              0.3657,            0.052682,           0.0072091,            0.011686,            0.000793,            0.000793,            0.000793
                  95,            0.037813,           0.0063825,           0.0039483,             0.86853,             0.53192,              0.5952,             0.36828,            0.052477,           0.0072418,            0.012077,            0.000694,            0.000694,            0.000694
                  96,            0.036568,           0.0062519,           0.0034628,             0.87487,             0.52716,             0.59346,             0.36689,            0.052699,            0.007231,            0.011815,            0.000595,            0.000595,            0.000595
                  97,            0.037019,            0.006046,            0.003704,             0.88406,             0.52434,             0.59482,             0.36593,            0.052902,           0.0073318,            0.011821,            0.000496,            0.000496,            0.000496
                  98,             0.03774,           0.0061975,           0.0039093,             0.88119,             0.53243,             0.59414,              0.3667,            0.052811,           0.0073445,            0.011668,            0.000397,            0.000397,            0.000397
                  99,            0.036849,           0.0061576,           0.0038537,              0.8857,             0.52261,             0.58994,             0.36578,            0.052782,           0.0073808,            0.011762,            0.000298,            0.000298,            0.000298
